playlist_year,track_name,album_name,album_release_date,track_duration_ms,track_popularity,artist_name,artist_id,artist_followers,artist_genres,artist_popularity
2023,Beggin',Chosen,2017-12-08,211560,82,Måneskin,0lAWpj5szCSwM4rUMHYmrr,9804923,"['indie rock italiano', 'italian pop']",81
2023,Above the Clouds,Above the Clouds,2023-03-16,157302,56,ConKi,2oBcbbUQy8Md3FYXifyPTF,20135,[],65
2023,Cupid - Twin Ver.,The Beginning: Cupid,2023-02-24,174253,22,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,1723823,['k-pop girl group'],69
2023,Lover,Lover,2019-08-23,221306,84,Taylor Swift,06HL4z0CvFAxyc27GXpf02,124809129,['pop'],100
2023,Love Is All Around,Love Is All Around,2022-07-21,171545,47,MarchY,1po8uWcMPIG9NSW2x0cxsb,601,[],38
2023,Pepas,Pepas,2021-06-24,287120,76,Farruko,329e4yvIujISKGKz1BZZbO,16076012,"['reggaeton', 'trap latino', 'urbano latino']",84
2023,Levitating (feat. DaBaby),Levitating (feat. DaBaby),2020-10-01,203064,66,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,44915227,"['dance pop', 'pop', 'uk pop']",88
2023,Dangerous,Dangerous,2024-10-11,169655,47,Senhit,0kgOnYSaZeTf3ZnErgwkGT,54522,[],37
2023,All or Nothing,All or Nothing,2023-10-05,174915,50,Sugar Jesus,1cdXZUfRhXZ8DnwMV4CcS5,3745,['canadian electronic'],48
2023,Whatever,Whatever,2024-01-19,178273,77,Kygo,23fqKkggKUBHNkbKtXEls4,8476016,"['edm', 'pop', 'pop dance', 'tropical house']",82
2023,Bad Habits,Bad Habits,2021-06-25,231041,6,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,116851003,"['pop', 'singer-songwriter pop', 'uk pop']",89
2023,Behind the Moon,Behind the Moon,2022-07-14,164919,48,K!llx,1gGoEoMd01jlEPtxTJo3jQ,1539,[],51
2023,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),2021-03-31,137875,68,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,12411722,['lgbtq+ hip hop'],76
2023,TEXAS HOLD 'EM,COWBOY CARTER,2024-03-29,233456,73,Beyoncé,6vWDO969PvNqNYHIOW5v0m,38845418,"['pop', 'r&b']",87
2023,Hello Shadow,Hello Shadow,2024-03-28,180952,50,Sugar Jesus,1cdXZUfRhXZ8DnwMV4CcS5,3745,['canadian electronic'],48
2023,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,2021-05-21,154983,77,Marshmello,64KEffDW9EtZ1y2vBYgq8T,33856376,"['brostep', 'edm', 'pop', 'progressive electro house']",84
2023,Infinity,Infinity (PRETTY YOUNG Remix),2021-12-10,237720,46,Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,963647,['indie poptimism'],68
2023,Hunger,Hunger,2021-11-25,172517,0,ConKi,2oBcbbUQy8Md3FYXifyPTF,20135,[],65
2023,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),2021-07-23,212000,73,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,12411722,['lgbtq+ hip hop'],76
